CVEGEO;numero_nodos;numero_nodos_boundary
27470;6;1
27472;6;2
27473;3;2
27474;7;3
27476;99;8
27477;1;1
27479;2;2
27480;24;6
27481;78;12
27482;7;3
27483;6;1
27484;3;2
27485;8;3
27486;14;2
27487;32;5
27488;14;6
27489;43;9
27490;4;3
27491;9;3
27492;8;0
27493;20;3
27494;22;1
27495;7;4
27496;1;1
27497;8;2
27499;30;5
27502;31;2
27503;1;1
27504;1;1
27505;1;1
27506;9;1
27507;22;6
27508;10;5
27509;1;1
27512;1;1
27513;1;1
27514;1;1
27515;2;2
27516;4;2
27517;23;2
27518;2;2
27519;3;1
27520;17;1
27521;6;2
27522;116;16
27523;12;3
27524;59;9
27525;20;5
27527;5;1
27528;4;2
27529;1;1
27530;5;3
27531;203;12
27532;9;1
27533;8;1
27534;2;1
27535;4;1
27536;3;2
27537;6;2
27538;158;12
27539;116;16
27540;2;2
27541;8;1
27542;53;9
27543;5;3
27544;4;2
27545;7;1
27546;99;9
27547;8;3
27548;16;4
27549;1776;95
27550;7;5
27551;1;1
27552;3;2
27553;2;2
27554;3;1
27556;340;19
27557;3;2
27558;34;6
27559;2;1
27560;2;2
27561;117;16
27562;318;25
27563;106;16
27564;2;1
27565;264;20
27566;1;1
27567;5;1
27568;2;2
27570;2;2
27571;4;2
27572;17;1
27574;1;1
27575;7;2
27576;3;1
27577;17;4
27578;54;6
27579;5;1
27580;1;1
27581;8;2
27582;2;1
27583;1;1
27584;2;2
27585;5;3
27586;2;2
27587;3;1
27588;74;9
27589;2;2
27590;2;2
27591;1;1
27592;1;1
27594;16;5
27595;2;1
27596;3;1
27597;1;1
27598;6;2
27599;60;6
27600;4;1
27601;2;2
27602;18;3
27603;13;3
27604;3;2
27605;1;0
27606;1;1
27608;2;1
27609;6;2
27610;4;2
27611;1;1
27612;1;1
27613;4;2
27614;3;1
27615;1;1
27617;33;6
27618;7;3
27619;3;2
27625;5;2
27628;5;0
27629;4;2
27630;1;1
27632;17;5
27633;3;2
27634;3;1
27636;22;3
27637;6;2
27638;1;1
27639;3;1
27640;4;2
27642;19;2
27643;11;5
27644;114;14
27646;15;2
